번호,위치,회사,제목,요약
1,성남 분당구,Nexon,데이터 분석 / 모델링,"유저의 특징을 추론하여 데이터로 구체화 1.베이지안 추론 2.패턴인식/머신러닝 3.네트워크 모델링 4.
크롤링/스크래핑 자동화 -게임이상탐지 : 게임내 발생 할 수 있는 다양한 이상상황 (버그 / 장애 / 유저의 어뷰..."
2,서울 영등포구,LG전자,Data Scientist,"적화/Scoring 등 다양한 분석 모델링 수행 및 결과 평가 2. 트렌드 센싱을 위한 데이터 리딩 - 데이터 
크롤링, 분석, 분석의 시각화 등을 통한 시장 인사이트 도출 기타 역량 - 상품기획 / 마케팅 및 유관부서 실무경..."
3,서울 서초구,시니어앤파트너즈,[서초구] Node 서버 개발자 (경력),"개발자간 의사소통이 원활한 분 - python selenium으로 웹 
크롤링을 해본 분 - socket 통신 경험자 [서초구] Node 서버 개발자... python selenium으로 웹 
크롤링을 해본 분- socket 통신..."
4,성남 분당구,Nexon,콘텐츠서비스개발- 데이터엔지니어,"주요업무] - 클라우드 기반 시스템 구축 및 운영(AWS) - 추천 시스템 운영 및 모니터링 - 웹 
크롤링을 활용한 데이터 수집 - 데이터 분석 환경 구축 및 운영 - 서비스 자동화 업무 지원자격 - 경력제한 없음..."
5,서울 성동구,유펜솔루션,유펜솔루션 프론트엔드 개발자,"라는 목표로 존재합니다. 웹 
크롤링 기술을 통해 방대한 양의 데이터를 쉽고, 빠르며, 정확하게 수집하고 그 속에서 가치를 발견할 수 있도록 도와주는 서비스입니다. 인공지능 웹 
크롤링 봇 ‘스파이더킴’ 홈페이지 주소..."
6,서울,버즈니,[AI/Lab] AI 백엔드 엔지니어 (마케팅 분야),"액션을 분석하여 키워드 단가 조정 및 광고 순위 최적화 – 데이터 마이닝을 사용해 마케팅 전략 수립 – 웹 
크롤링을 사용해 외부 데이터 수집 및 적재 디스플레이 광고 최적화 – 서비스 타겟 사용자 자동 분류 – 개인화된 디스..."
7,서울,일삼헤르츠,일삼헤르츠(주) 웹개발 서비스 개발자 경력직,"부문 및 자격요건 담당업무 자격요건 인원 [담당업무]- 신규 쇼핑몰 웹 서비스 개발- 운영 서비스 유지보수- 
크롤링 JOB 개발[근무부서 및 직급/직책]근무부서: 개발팀 [자격요건]경력사항: 2년이상 경력자학력사항: 초대졸이..."
8,서울 송파구,웹비즈크리에이티브,"[주식회사웹비즈크리에이티브]웹/앱 프로그래머, 디자이너, 퍼블리셔, 기획자","App (iOS, Android, WinOS) / UI/ UX 3) 퍼블리싱: Html5 / CSS3 / 시차스
크롤링/ 반응형웹 / 워드프레스 4)기획 : 기획, 설계, 스토리보드, PM 접수마감일 2021년 06월 30일..."
9,제주도 제주,쏘카,비즈니스 분석가,"Excel / spreadsheet 중급 이상 • 고급 통계지식을 비즈니스에 이용가능하신 분 • 간단한 시뮬레이션/
크롤링 개발이 가능하신 분 • 비즈니스 최적화 알고리즘을 구현해 보신 분 전형절차 서류 지원 전화면접 1차면접..."
10,서울 구로구,Success Korea,빅데이터 시스템 구축/분석/컨설팅,"활용 또는 Hadoop/분산처리 업무경력 - R, 파이썬을 통한 웹 
크롤링/스크랩핑 경험 우대사항 -Cloud 자격증 보유자(AWS, Azure... 산처리 업무경력 - R, 파이썬을 통한 웹 
크롤링/스크랩핑 경험 우대사항..."
11,서울 역삼동,Success Korea,Data Scientist,"중 하나 필수) - Data 관련 프로세스 경험 : 데이터추출(ETL/
크롤링), 데이터정제/변환/통합, 데이터 시각화 기술 - 데이터베이스 경험(필수... 로세스 경험 : 데이터추출(ETL/
크롤링), 데이터정제/변환/통합, 데이터..."
12,광주 북구,광주과학기술원,한국문화기술연구소 연구직,"데이터셋 설계 ② 담당업무: 콘텐츠 수집 / Annotation /인터뷰 등 1. 고졸이상 2. 데이터
크롤링 업무 경험자 우대사항 ① 국가보훈대상자(취업보호대상자) 및 장애인은 관련 법령에 의거하여 우대 ② 국가..."
